,hashtags,likes,replies,retweets,screen_name,text,timestamp,username
262,['homecomingnetflix'],0,0,0,Kelle_S6,"I’ve watched #homecomingnetflix and I think it’s a really good film - Beyoncé’s Coachella performance should definitely be celebrated because it was amazing.
She’s definitely the hardest working female entertainer right now!",4/19/2019 17:46,Kelle Salle 🇨🇲
263,"['homecomingbeyonce', 'homecomingnetflix']",0,0,0,Tsmpsi,Acabei de assistir o doc da Beyoncé e é rainha mesmo sem defeitos #homecomingbeyonce #homecomingnetflix,4/19/2019 17:17,Tamires♐️
264,['homecomingnetflix'],0,0,0,thekristinx,Wowwww at kelly and Michelle’s abs at Beychella. #homecomingnetflix  YET AGAIN.,4/19/2019 16:45,Kristin-
265,"['homecomingnetflix', 'hejustwannabebeyonce', 'samebubsamepic']",0,0,0,JessieRaeGill10,He won't let me turn #homecomingnetflix off. I'm not even mad. @Beyonce all day every day.  #hejustwannabebeyonce #samebubsamepic.twitter.com/V6fI2xAlqj,4/19/2019 16:16,ImpossibleGirl
266,['homecomingnetflix'],0,0,0,CeruleanRdz,#homecomingnetflix made me do it pic.twitter.com/SUQ0nHILSo,4/19/2019 16:13,needy ✨
267,"['homecomingnetflix', 'BeyHive4life']",0,0,0,msnbarbie,I’m 5 minutes into @Beyonce #homecomingnetflix and I can’t stop crying tears of happiness. She. Is. Amazing. #BeyHive4life,4/19/2019 16:11,msnbarbie🦄🍸🍰💅🏻
268,['homecomingnetflix'],0,0,0,BlkTPproject,#homecomingnetflix is still serving! The movement to simulate head during Partition?! I Live!!,4/19/2019 16:11,Denise Thugstable III
269,"['michelleobama', 'beyonce', 'beychella', 'beyhive', 'cochella2019', 'homecoming', 'netflix']",0,0,0,TheHotZoneUSA,Michelle Obama Praises Beyoncé On The Impact Of “Homecoming” in a Video. #michelleobama #beyonce #beychella #beyhive #cochella2019 #homecoming #netflix @beyonce @michelleobama @netflix @homecomingnetflix @beychellavideos pic.twitter.com/Owx6cjJDHy,4/19/2019 16:05,The Hot Zone
270,"['fbf', 'homecomingnetflix', 'OTRII']",4,0,1,TheRealKolinB,represent. This #fbf is in honor of #homecomingnetflix @Beyonce  last year #OTRII in San Diego on my birthday pic.twitter.com/bmPT4GZGn3,4/19/2019 16:05,Kolin
271,['homecomingnetflix'],0,0,0,Articufilm,Michelle Obama clearly lives Netflix’s new documentary about @Beyonce what do you guys all think about #homecomingnetflix or are you watching it over the weekend,4/19/2019 16:02,ArticuFilm
272,"['HOMECOMING', 'homecomingnetflix', 'homecomingbeyonce']",0,1,0,Luuh_Ricchi,@Soll_FFC já assistiu o filme da Beyoncé? É melhor que o filme do Pelé #HOMECOMING #homecomingnetflix #homecomingbeyonce B△K,4/19/2019 15:53,𝕃𝕦𝕒
273,['homecomingnetflix'],1,1,0,thatgirlleen,"As I suspected, literally every single choice I’ve ever made, is why I don’t have Beyoncé’s body. #homecomingnetflix",4/19/2019 15:51,Leen Nella
274,"['homecomingbeyonce', 'homecomingnetflix']",13,0,2,jmarasiganoffcl,@Beyonce is such performer goals! I strive to become half the woman she is. Her work ethic! Her passion! That SOUL she brings on stage!!!!  #homecomingbeyonce #homecomingnetflix,4/19/2019 15:49,Jessica Marasigan 💋
275,"['Homecoming', 'QueenBey', 'HomecomingNetflix', 'BeyHive']",2,0,0,OriValladares,"Thank you for my early bday gift @Beyonce. #Homecoming is one of the most moving documentaries that I've seen. #QueenBey, you've done it again. Hopefully, one day I will be on stage dancing with you. Much love. #HomecomingNetflix #BeyHive @Netflix ",4/19/2019 15:43,Oriana
276,"['homecomingnetflix', 'ProudBlackWoman']",1,1,0,Shan_Etheridge,Ok...so trying to Spring clean and watch @Beyonce #homecomingnetflix is NOT working! This woman is Baaadddd! Simply Amazing Talent and Inspiration to ALL #ProudBlackWoman pic.twitter.com/U2nDHeltNo,4/19/2019 15:10,Shannon
277,"['beychella', 'homecomingnetflix']",1,1,1,hananthecat,When you thought #beychella is already great and then you watch #homecomingnetflix ,4/19/2019 15:04,❁Hanan M.
278,"['Homecoming', 'HomeComingNetflix']",0,0,0,ms_nkuna,Watching #Homecoming now! OH MY GOSH!!! King Beyoncé  #HomeComingNetflix ,4/19/2019 15:02,Lulu Nkuna 
279,"['homecomingbeyonce', 'Homecoming', 'homecomingnetflix']",0,0,0,JessicaRameau,"'""YOU CAN'T BE WHAT YOU CAN'T SEE"" 
- MARIAN WRIGHT EDELMAN, SPELMAN COLLEGE 1959
#homecomingbeyonce #Homecoming #homecomingnetflix",4/19/2019 14:56,Jessica P. Rameau
280,['homecomingnetflix'],0,0,0,misscaitlina,@Beyonce you are on another level #homecomingnetflix,4/19/2019 14:30,Caitlin A. Anderson
281,['homecomingnetflix'],0,0,0,Dancinstarrlet,"Watching @Beyonce’s  #homecomingnetflix documentary on this here Good Friday! She’s so dope. This entire concept for Beychella was genius, bruh!",4/19/2019 14:29,Toccara
282,"['winning', 'homecomingnetflix']",0,0,0,mSRholland,"Love how she had women of all shapes and sizes in the show #winning
#homecomingnetflix",4/19/2019 14:29,lioness_26
283,"['homecomingnetflix', 'inspiration']",0,0,0,mSRholland,@Beyonce is a boss & I admire that #homecomingnetflix #inspiration,4/19/2019 14:27,lioness_26
284,['homecomingnetflix'],0,0,0,Leenah_04,20 minutes into #homecomingnetflix & I must say that..I May or may not have been sleeping on Beyoncé. WOW,4/19/2019 14:03,Leenah
285,"['Homecoming', 'hairography', 'homecomingnetflix', 'Beyonce']",1,0,0,Camp007Space,"@Beyonce ‘s #Homecoming is a tight 2 hours of #hairography, with awesome splashes of African-american culture! #homecomingnetflix #Beyonce",4/19/2019 14:03,Space Camp
286,['homecomingnetflix'],0,0,0,dennisisamenace,I always thought Beyoncé was overrated but then I watched #homecomingnetflix,4/19/2019 14:03,Dennis
287,['homecomingnetflix'],0,0,0,Kelle_S6,"It’s nice to get a glimpse of what Beyoncé’s life is like when she’s not performing.
You can’t help but respect what she has achieved as a performer, a mother and a businesswoman.
#homecomingnetflix",4/19/2019 13:52,Kelle Salle 🇨🇲
288,['homecomingnetflix'],1,0,0,taylorameredith,"The internet has already said all things about #homecomingnetflix and @Beyonce. It is all that and much more, so so much more. ",4/19/2019 13:47,Taylor Meredith
289,['homecomingnetflix'],0,0,0,itsaiyana_,I definitely got chills and cried watching Beyoncé’s Homecoming #homecomingnetflix ,4/19/2019 13:40,Aiyana 💕
290,"['Beyoncé', 'HOMECOMING', 'Netflix', 'homecomingnetflix']",2,0,0,juliosemh_,"Quando a amiga não é fã da #Beyoncé, mas assistiu o #HOMECOMING só por ser da @Beyonce #Netflix #homecomingnetflix  pic.twitter.com/NOw4gDrFSm",4/19/2019 13:36,Desempregada
291,"['homecomingnetflix', 'iaintsorry']",0,0,0,YayaLuci,"@beyonce 
I don't give a f*ck, chucking my deuces up.
            https://youtu.be/O67PxeIt4Tw 
#homecomingnetflix #iaintsorry",4/19/2019 13:34,حياتى
292,['homecomingnetflix'],3,0,0,BoricuaBruja,But the bigger question here is who does Beyoncé’s hair? #homecomingnetflix,4/19/2019 13:28,chuleta chula
293,['homecomingnetflix'],7,0,1,marquenhus,as críticas ao #homecomingnetflix pic.twitter.com/TCuhhvBBR5,4/19/2019 13:26,pós-manco
294,['homecomingnetflix'],3,0,0,ViviSemaan,#homecomingnetflix and beer. Heaven. pic.twitter.com/mg1GiZ6VWG,4/19/2019 13:22,Vivi Semaan
295,['homecomingnetflix'],0,0,0,Queenof_Leen,Sis took up 2hrs of my day yesterday n I’m not mad #homecomingnetflix https://twitter.com/_BluRay__/status/1118452594928750592 …,4/19/2019 13:18,FREE KODAK BLACK
296,"['homecomingnetflix', 'BeyonceHomecoming']",0,1,0,m_a_r_inyo,"I AM A DIVA !!!!!!!! 
アイマディーバ！！！！！！！！！！！！！
うおおおおおおおおお！！！！！！！！！！！！
#homecomingnetflix #BeyonceHomecoming",4/19/2019 13:15,ビニョンセ
297,['homecomingnetflix'],0,0,0,pricelora39,Beyoncé’s #homecomingnetflix is EVERYTHINGGGGGGG,4/19/2019 12:57,Lora the Explorer🍁
298,['homecomingnetflix'],0,0,0,yasminnassera,Beyoncé will end racism one day #homecomingnetflix,4/19/2019 12:36,Yasmin Nasser
299,['homecomingnetflix'],0,0,0,Pender25,"Off work today, starting it off right with waffles and Beyoncé.
#homecomingnetflix @Beyonce",4/19/2019 12:31,Adrienne Pender
300,"['homecomingnetflix', 'homecomingbeyonce']",1,0,0,PMayekiso,"Education must not only teach work - it must teach life. 
W. E. B. Did Bois 1888
#homecomingnetflix #homecomingbeyonce 
131 years and still...",4/19/2019 12:27,PumPum
301,['homecomingnetflix'],0,0,0,Kelle_S6,Watching #homecomingnetflix while I take these braids out.,4/19/2019 12:17,Kelle Salle 🇨🇲
302,['homecomingnetflix'],0,0,0,ChelseaWiseRVA,Appropriate reactions. #homecomingnetflix https://twitter.com/Beyhive_803/status/1118701267365371909 …,4/19/2019 12:09,Chelsea Higgs Wise
303,['homecomingnetflix'],1,1,0,ariechai,I need someone to explain to me how Beyoncé and her dancers did a wardrobe  change so quick without leaving the stage #homecomingnetflix,4/19/2019 12:06,ariechai
304,['homecomingnetflix'],0,0,0,GilesChild,#homecomingnetflix What a woman ,4/19/2019 12:00,Lucy Giles
305,"['homecomingbeyonce', 'homecomingnetflix']",1,0,0,amanda_posadzki,Meu Deus o que é isso #homecomingbeyonce #homecomingnetflix essa mulheeeerrrrrrrrrr senhoooooorrrrrrr,4/19/2019 11:46,Amanda Abreu
306,"['homecomingbeyonce', 'homecomingnetflix']",1,0,0,viccimacci,"Beyonce' achieved her weight goal but not eating carbs, sugar , dairy, meat or fish plus working out not mentioning the constant rehearsals. My goodness, the resolve and determination! I stan!!
#homecomingbeyonce #homecomingnetflix",4/19/2019 11:27,single & contented
307,['homecomingnetflix'],4,0,1,BACANI,"Bruh, I had to stop 40 minutes in because of sensory overload. The surfboard-swagsurf wordplay was too much for me to handle. Most beautiful thing I’ve heard in a while. I don’t deserve @Beyonce  #homecomingnetflix",4/19/2019 10:46,MARC
308,['homecomingnetflix'],0,1,0,Dinz___,"Lenang Beyoncé ne, this woman works, like wow! #homecomingnetflix",4/19/2019 10:27,Dee🇿🇦
309,['homecomingnetflix'],0,0,0,Oge_anyikwa,"Hate it or Love it, She’s amazing at what she does 
#homecomingnetflix",4/19/2019 10:17,Madam Ogé 🇦🇷
310,"['homecomingbeyonce', 'homecomingnetflix']",1,1,0,jjungnr,ดูแม่บีแล้วแบ่บ นี่แหละควีนนน เหมาะสมกับคำว่าควีนบีแบบไม่มีอะไรมาลบล้างได้ แค่เปิดตัวมากก็ชนะเลิศแล้ววว ดีมากแม่ #homecomingbeyonce #homecomingnetflix,4/19/2019 10:17,• whatever •
311,['homecomingnetflix'],2,0,1,Oge_anyikwa,"I love the fact that People have come to the realization that Beyoncé really is a GREAT entertainer..
Loving her isn’t putting any money in my pocket (because I know that’s what an idiot may insert) 
But i will always applaud her Art...she’s phenomenal
#homecomingnetflix",4/19/2019 10:11,Madam Ogé 🇦🇷
312,['HomeComingNetflix'],1,1,0,x_crystalsoul,"#HomeComingNetflix
King Beyonce  the prodcution on the stage, sound, choreography, music, visuals , lights, outfits , videography such a damn extra extra extraordinaire excellent Creative Producer not forgetting Visionary and http://perfectionists.Love  @Beyoncepic.twitter.com/AQzJWeAuck",4/19/2019 9:53,X.Crystalsoul💎💎 #INTERSTELLARMESSAGE
313,['homecomingnetflix'],2,0,0,fabjaki,"Please even if you’re not a Beyoncé fan, please watch #homecomingnetflix. The discipline, the mastery of her craft, the execution  what I’m trying to say, it’ll be worth your while.",4/19/2019 8:32,Muthoni
314,['homecomingnetflix'],2,1,0,LKatule,I’m 14 mins in #homecomingnetflix tell me why am I getting goosebumps?! Beyonce is Queen ,4/19/2019 8:24,LISA 👸🏾
315,['homecomingnetflix'],0,0,0,taloni_m,I stayed up all night to finally watch #homecomingnetflix and I don’t regret it.,4/19/2019 8:04,Lon
